begin_node_id,end_node_id,FFTT
42519812,248607283,4.978118609
42766934,42765242,1.474803955
42421783,42454313,4.05097137
42867023,42807554,4.592382413
2028361256,2028328023,1.634824853
42422592,42428072,2.992703716
42486083,465132522,1.180516492
370880758,42421946,3.721319018
42422086,42443116,2.19578113
42766931,42762533,3.418547562
42427991,1733612459,3.602556237
42421960,42445569,3.520403989
593921859,42455761,1.848550972
42421974,42443305,2.76607569
42815805,42817412,8.160378323
42767053,42755256,4.373167405
42815834,42815829,4.064570552
42815829,42815824,4.054243354
103886354,440243635,28.97330378
42815824,42815820,4.067944785
42815820,42815816,4.064468303
42815816,42815813,4.064417178
42815813,42815810,4.071421268
42815810,42815807,2.521114519
42815807,42815805,4.091717791
42422592,42422399,9.261646638
42422585,42422592,1.682485298
42422592,42422366,2.947903171
42422592,42421778,2.99209001
42815770,42815764,3.888496933
103879237,103869667,2.614524378
42815764,42815755,3.894785276
42471183,42487567,4.572422259
42422038,42438155,2.873917491
42815755,42815750,3.897239264
42815750,42815748,4.093762781
1533280148,2779131562,2.727096115
42421865,42443165,12.60567485
42429705,1544809885,3.632610475
42520827,42520825,2.708523696
42422018,42438052,2.870405728
42864880,42864879,11.52106339
42422026,42437401,8.505521472
42421852,42442584,3.306375725
42421996,42438043,2.719706785
42520579,42527647,4.837535157
541999391,42481645,2.593760655
42422018,42437058,3.20862598
246894565,42429570,2.437663002
42422000,42437052,2.044285349
42469478,42537973,2.496165644
42520409,42531870,7.274897751
42422366,42425188,1.523866348
42421806,42442475,2.059549987
42421769,42443347,2.940163655
42471048,42488527,4.053885481
42866526,42811451,3.439775051
42421820,42441569,2.901363791
42471615,42470439,1.971428571
541999541,42474811,6.026080286
42471722,42467023,2.963177634
42469879,42524122,4.096063395
42422035,42434413,2.555163599
42469876,42524119,2.699386294
42421772,42442469,2.056226029
42421993,42435312,2.711148994
42421778,42441587,2.765530174
42421852,42438928,5.834367542
42436567,592484776,5.418558282
42421969,42435250,2.742584385
483605937,2408421325,3.542893661
42421877,42437949,2.57163314
42436793,1692433932,8.51109407
593216034,371034141,8.717489133
42421882,42436856,3.145858896
42766989,42748414,6.862836686
593921869,42443563,2.646165644
42421820,42437312,3.009444255
42422016,42431044,2.781384248
42421993,42431447,2.782577566
42421803,42437300,2.738424821
42471046,42483561,3.244435352
42422053,42429362,2.617791411
371230604,589928187,3.310380977
42471092,42481652,3.390146608
42469633,42526329,12.91221881
42421737,42437917,2.906000682
42453604,1775270664,2.836310944
593300772,42820840,10.51273006
42422042,42428374,1.610910331
42767057,42742681,13.43839073
42471265,42474786,2.891536691
42421800,42435308,2.729287419
42422056,42427249,4.056492843
42421882,42432194,2.521206955
42442559,1061531815,6.616308793
593301234,42804992,2.627563283
42470376,42501208,4.185276074
42442549,1061531730,6.616820041
42421972,42428570,2.408949118
276069438,42920892,2.056072616
42442534,1061531807,6.508231084
42442542,1061531504,4.443777702
1934650109,1044184577,7.147379187
277385120,277385119,2.06993865
42421728,42435337,2.917081487
42442514,1061531790,6.697341513
42521405,42490932,2.866416638
42421960,42427953,3.40194274
42421882,42430241,2.815444937
42442492,1061531731,6.656186094
482661024,276065908,12.88251534
42442475,1061531839,7.33599182
42442480,1061531603,7.022341513
42421828,42430938,6.649182004
42442469,1061531645,7.753067485
42421810,42431034,2.727071258
42421810,42431030,2.77483805
42442463,1061531454,7.763957055
42422086,42422168,1.801150601
42442451,1061531634,3.317831572
42421741,42432756,2.196266939
42421857,42428863,12.45541922
42421731,42432737,4.419325153
42421728,42432736,2.931367201
42421776,42431024,2.726457552
42421776,42431019,2.93378793
42433881,595703383,2.862576687
42442422,1061531608,2.283942726
42422056,42422053,4.987525562
42422053,42422056,4.512269939
42470437,42494930,11.10679959
42422050,42422053,6.947341513
593215564,371038821,2.960496037
42470434,42494845,2.894400409
42422042,42422050,5.907361963
42421749,42431118,2.972826458
42422038,42422042,5.742484663
42422035,42422038,4.90204499
293348991,301546019,7.83289689
276209383,2433000860,12.63848121
42422016,42422018,11.04182004
42421783,42429174,3.007900793
42520607,42511011,2.688271394
42421996,42422000,13.96630879
42421993,42421996,13.90357873
42421982,42421978,3.966717791
42421978,42421982,3.966717791
42453080,595105496,6.550766871
42421974,42421972,7.898670757
42421972,42421969,4.745245399
42421946,42421960,3.019529652
42815107,42816214,6.093404908
42433743,595703242,2.983128834
2689614147,2089937977,2.691996932
42814259,42842371,3.879243354
42520740,42504256,4.676883737
593921875,42430677,10.07280164
42453011,595105531,1.040501151
593921860,42430691,9.951431493
593921856,42430685,6.673337879
42449833,596776497,2.953972042
42421800,42424851,2.748926014
42521121,42491616,9.731492843
42449833,596776442,2.723968633
42767011,42733194,2.026628026
42421877,42421882,15.28675869
42866064,42807752,4.332464213
42421865,42421857,4.252658487
42421857,42421865,4.252658487
277032734,42932829,2.456290488
42421852,42421857,13.7545501
1946814074,248709626,3.566689397
42421820,42421810,11.04509202
42421810,42421809,5.599539877
42421809,42421806,7.599386503
42435705,1815133244,9.336754177
42421806,42421803,13.9747955
42421778,42422592,2.99209001
42421778,42421776,6.570347648
42521808,42466517,9.111298569
42421775,42421772,7.784355828
42471130,42464570,3.602658487
42421772,42421769,13.98108384
42471136,42463651,3.245662848
42421741,42421737,9.295329015
42421737,42421741,9.295329015
42421737,42421731,4.60634163
103878596,103863438,2.759495397
42421731,42421737,4.60634163
42421731,42421728,4.699045346
42421728,42421731,4.699045346
42519812,42525712,6.946779141
103878359,103869196,3.88502045
276299310,2089938015,1.829174124
370888100,370888101,3.873715162
593920893,427804029,2.78111149
42520393,42506177,4.049386503
1775176474,42424098,2.177780619
2481865390,42440804,1.725313219
1834852948,248709733,8.133412888
103881940,1112485522,4.110224949
358448394,42435635,9.395601773
60007353,295228005,1.119611353
2481865390,42437580,1.977115827
42469437,42508211,4.969989775
42519809,42519202,1.086678599
103877791,103879821,2.905318786
1775270664,1919595924,1.820199437
42520825,42486597,2.70163655
42470387,42477228,13.94151329
276299050,2089938080,3.072487855
42520740,42488330,4.719195363
42469614,42500046,2.205599591
42469606,42500041,3.030003409
42428212,449581627,2.985646096
42470396,42474962,2.428074661
42520698,42488270,4.351789366
42433173,595703198,3.419529652
42519640,42520559,2.33620866
588593611,246909454,2.17798517
358448394,42427817,2.724309581
42470439,42470437,11.96257669
42434951,561042193,2.643232185
589100267,42458017,4.960838446
42912774,42912776,2.133290718
42520764,42481968,2.966450733
42470385,42470382,4.526124744
42909195,2402842572,11.2547546
588718770,486819535,3.807312708
42470382,42469633,7.09976988
42911782,42941870,14.59570552
589100164,42458034,11.98670757
589100164,42458017,2.556288344
103238622,103237100,2.74889192
42469118,42506366,7.006543967
103877797,103868764,1.401534265
593915303,247081122,5.481539248
589100711,42439191,3.921401176
100662030,277481765,7.930145743
42520607,42482473,3.407296284
100662028,277481542,14.58695986
60925728,595473421,5.768703656
42521125,42466266,7.540027276
42436060,1104165608,6.824539877
486869939,486868138,1.925389926
42449005,596776260,2.891135356
277482363,277482105,6.506134969
589100711,42437826,1.130196881
277482339,277482363,3.692689162
42444960,1533280148,6.173619632
42862706,42885428,1.67888707
42520729,42476485,3.915479032
589100232,42451018,2.026566096
358447541,42444933,4.73103272
279603573,276209340,1.348350805
42833276,597443929,3.746151879
42469898,42477282,3.244476268
106089178,106089864,2.16954743
276298577,2089938041,2.819381232
380059967,42497720,2.749744289
588175753,42796436,1.079468167
103877626,103868269,3.855214724
277482205,277482097,4.177300613
42519230,42519232,3.179907975
42519223,42519230,2.697494888
42519202,42519809,1.086678599
42912776,42900647,2.156277167
2387504625,1696727885,4.745756646
42519232,42517465,10.47648262
42519207,42517910,3.923619632
42449597,2821304136,8.213496933
42520559,42475325,5.634509202
277482107,277482066,2.717535787
277482105,277482107,3.885071575
277482097,277482339,18.20148262
561042194,42449683,2.760893283
61271527,1825732607,8.881283559
561042193,42449683,2.62986703
42519250,42514188,3.993200409
42469214,42492412,2.697033754
42520686,42469492,2.718762781
205026279,278609760,2.034390182
561042188,42449308,2.687828162
42519258,42513498,4.200562372
588593353,246899801,4.010125288
42764835,42764839,2.882782134
42764819,42764829,2.872178657
42468747,42505383,3.407617587
42764829,42763894,2.58196386
561042204,42446959,3.741626183
588593097,42433718,3.167791411
561042197,42446949,7.489672802
561042194,42446945,7.448977505
561042193,42446941,4.928162291
2141026551,42439878,2.044387625
42861204,42920889,1.980516492
2141026540,42439891,2.010943493
2141026538,42439860,2.035157249
2141026538,42439858,2.042597801
42519238,42511349,4.065132924
276203987,276204366,2.077806188
276203987,276204325,3.569700844
561042197,42445653,2.676576884
561042188,42445903,7.451175869
42518976,42518972,7.168558282
561042194,42445653,2.670780771
2141026510,42439858,2.035745334
42520415,42474121,3.909867076
42861164,42920894,4.010889571
2141026504,42439851,2.026105855
471243875,42747190,8.219434027
2141026501,42439861,2.172692406
2141026498,42439851,2.047225773
42519812,42492409,2.271337254
2141026493,42439868,1.961007415
371231343,371225085,6.853618001
42469395,42482032,1.910501193
42733678,595801192,1.520934197
482655346,42884818,5.672013093
561042204,42443804,1.380593199
2141026544,42437211,2.045333674
2141026538,42435802,13.68338446
42768534,2912071211,1.540368224
2141026515,42436003,2.017233444
1258945651,278632502,6.957106339
2141026505,42435858,13.55086912
371231224,371225132,4.911659422
371239960,1369722086,1.961032984
2141026493,42435810,13.64038855
42430594,246580466,2.02751449
42469640,42470387,14.22857873
103877570,103855864,2.649846573
42764839,42756130,3.74561882
42518571,42526050,3.394306171
42424098,371037281,7.243200409
42912767,42888656,2.12950652
42764849,42755148,5.396676892
277481749,277481750,2.911582715
2141026500,42433743,1.898900537
42469612,42469606,6.760756904
42812173,42860206,2.039989772
301546017,1293095295,9.416462168
2141026510,42432905,12.94897751
2141026504,42432900,7.976533742
889585049,42427412,3.45204499
42448338,596775951,2.710569383
42448338,596775919,2.707637232
2141026544,42431207,13.55659509
42765242,42741098,4.561097852
296933787,103857853,2.806083845
42518710,42518716,10.58711656
42519223,42502645,8.595654397
42427504,1544809889,6.137479542
42469624,42467033,4.355777096
277136465,42815933,5.062479542
2141026551,42429536,2.084684224
103876754,103876732,7.800869343
371034153,371037077,7.66650473
2141026510,42429732,2.038430069
2141026515,42429536,2.035770903
2141026504,42429732,2.048043979
42861216,42908871,4.054805726
561042193,42434951,2.630412547
589100393,42423774,4.305318333
42469475,42469478,2.719911354
42469472,42469475,3.189226048
42448216,596776127,2.753324241
42448216,596776120,2.749914763
42520210,42469118,7.537985685
476241458,599270645,9.526770647
277481542,277481814,2.733137305
561042200,42432444,7.406748466
42911782,42911763,8.000715929
2216963516,42433870,16.175409
42519202,42498552,2.227096115
42911763,42911782,8.000715929
42861196,42906428,3.929294479
42469391,42469395,2.279509035
42469389,42469382,2.923320832
42518739,42512120,8.494989775
42518588,42516389,11.95383436
277481423,277482762,7.006187676
1258945357,278630368,4.205522884
277481436,277481749,7.573485042
589100267,42422509,5.785349016
42446182,2799368116,2.681520627
103876893,103864941,6.405521472
42469212,42469214,1.4182562
486868873,486867490,1.164126822
42427828,246650510,2.034211199
2481865390,1773063789,3.456941959
103237100,103245957,2.809614729
42811451,42866518,2.073517382
42810967,42880853,4.067944785
42844301,276203987,2.410508821
42467463,42518580,11.96186094
486819535,486819536,1.44916901
42423579,371034158,2.755075428
103876555,103867934,3.926635992
308693080,308679528,2.460582822
308693078,308679524,7.24601227
42423565,371034153,1.536972641
42763894,42764835,2.883600409
42518972,42492540,4.050408998
42467848,42502968,3.655433393
2447703173,42874679,3.392962357
42811446,42861252,9.669887526
103867019,752178858,4.165848671
42519271,42480534,2.714672802
42467919,42498514,5.247750511
42427494,246650840,2.889976988
103875882,103882339,2.51653597
451020319,451018391,2.245359243
276067533,42899921,1.618230632
42519258,42478109,4.061605317
595314120,595314119,1.779168087
370927297,42452882,10.33875256
42468453,42479028,4.011503067
42468449,42479021,4.055265849
42431363,595703314,19.97137014
486868138,486876059,1.946560982
42518580,42496521,11.97811861
42519216,42476721,2.458691207
595314036,595314040,4.025460123
451018391,451074820,5.097008438
42809790,42904563,3.597239264
42444353,279151954,2.639376119
42811340,42855098,10.94683027
2447703173,42864879,3.192962357
593301322,593216034,4.46954743
42467403,42504433,6.981748466
42860617,42896831,3.381748466
42447230,596776032,2.698056597
246890579,42453442,2.051419074
42517597,42519216,9.621472393
42466950,42516250,12.7408998
42861190,42876764,3.929243354
42447166,596776260,7.319529652
1657671821,42764835,3.858793456
42517603,42517600,3.516104294
42517600,42517597,4.088190184
2837053797,2318033748,1.424546152
42437928,2481877067,6.63890593
42466491,42527868,10.45603272
42860179,42906104,3.268882639
42447105,596776089,7.173517382
42809536,42902909,11.20189162
103875882,103866383,5.572587794
42439454,1061531707,1.804841459
593973910,358448394,2.042175247
42517465,42517467,3.883640082
277768073,2089937994,2.206878036
103875777,103867019,3.362111293
42466266,42529939,9.500255624
42910603,42910593,2.449987216
42466440,42523094,7.118240709
42860012,42904433,4.200051125
100659881,277481443,12.32748658
2447703182,42849658,3.374744376
595757814,60921026,2.503784521
42437670,593915305,6.213883917
530754330,103132818,2.536481418
42445037,2698702581,3.791306571
42859957,42904454,4.041104294
42433281,1692433942,3.961349693
246890579,42440527,3.674599386
42859920,42904507,3.962372188
482640607,482640620,6.572217676
42443156,595314036,9.547801636
42860618,42880331,10.56068507
482640620,482639370,11.26231588
42435636,593973910,9.055233549
42432438,561042200,7.29493865
596271291,471243699,4.309230376
278642254,486819531,2.44121708
42517097,42517094,1.835233956
248709733,248709714,1.376065462
42517087,42517081,2.838660189
248709714,248709733,1.376065462
42836513,1904847201,5.699181795
42467919,42467912,4.097443763
486867548,486867605,3.904703476
42441777,595352927,4.059247136
42467929,42466383,3.96293456
42810501,42856569,14.73282209
486867605,486864444,3.493556635
42517467,42502653,4.691768916
42467848,42467844,4.240030675
62915527,42453555,2.041012529
246890279,42440918,1.909562772
486867405,486868873,1.786090514
597328332,597328336,6.842648939
486867432,486867405,2.030554845
42467912,42464292,3.762218814
248709587,248709390,5.685787321
42446461,596776078,2.674087965
42446461,596776041,2.734810774
42438862,1061531695,7.123006135
42762533,42766934,4.258438459
246890279,42438060,4.670603272
42437580,2481865390,1.977115827
42517476,42497788,4.055981595
42517021,42511729,4.301457428
42467033,42488442,4.27392638
42517465,42497773,3.985327198
42431099,587812578,6.908728265
42517910,42483640,3.930470348
42861252,42849847,3.924488753
246890279,42436024,1.854717464
103882084,440243651,2.616126833
248709390,248709587,5.685787321
42466412,42504046,2.764711899
451068157,451068180,3.140603426
451068154,451068157,1.479774994
42466438,42502404,5.542638037
451068180,451066683,2.782459729
482652239,42909624,1.466280259
62915536,42443549,1.984096139
62915531,42443549,1.349092304
42467081,42481677,2.708148653
62915525,42443570,2.133853234
42429211,595729841,2.084326259
482640607,482623180,2.880122741
42446155,596776546,7.269171779
42467396,42469876,2.712683259
42446138,596776201,7.306543967
62915536,42440253,2.015673741
42466454,42497788,5.254001534
42446099,596776166,7.343609407
42446086,596776260,7.352811861
42860618,42860617,4.046830266
42860617,42860618,4.046830266
42446070,596776177,7.379907975
595352904,561035372,2.128279212
482640649,482617546,2.875245499
42860563,42860570,4.01099182
42446021,596776089,7.553323108
62915525,42437379,2.372820251
42446013,596776041,7.470296524
103874255,103883742,3.939106717
42884818,279609722,1.960675019
42445972,596776032,5.002079782
42445961,596775985,7.522494888
103160730,103111281,5.964780089
103861405,1112485531,2.374897751
42509264,42474126,4.689059305
42424334,825418517,2.282050626
42465871,42465874,2.706409819
103873764,103873766,4.334304703
482639370,482640649,3.389443535
1061531839,42431034,5.898210634
1061531707,42439464,6.871905898
42445926,596775882,#N/A
42445936,596775919,#N/A
42445950,596775946,#N/A
42445928,596775870,#N/A
42807818,42919829,#N/A
42445930,596775914,#N/A
42810494,42833309,4.22392638
471241911,42724759,#N/A
276065579,42909624,#N/A
598228721,42488516,#N/A
42445817,596776349,2.752915104
103868835,60007644,#N/A
42517600,42476725,12.13067485
42860230,42860227,2.088263871
276299053,276315696,4.581462542
482539630,2446054619,5.47295501
1061531603,42442480,7.022341513
276299131,276314184,2.167706469
42467023,42469612,2.871939993
42466506,42486350,4.836247444
42467024,42469614,2.218563027
42860233,42860230,1.929608796
1061531509,42443310,3.736856461
1293095295,103859189,5.399488753
42861322,42828372,5.127300613
1061531491,42442432,1.086141652
42445733,596776103,7.402351738
373867810,42467403,3.191564417
1061531757,42428634,2.338967016
1061531815,42428746,2.079928407
42860184,42860179,2.856021478
42517036,42488429,2.13300946
1061531454,42442463,7.763957055
42860206,42860202,2.06440808
42517081,42486735,2.420531833
42860202,42860194,4.123242138
42465236,42521125,8.212478691
42810468,42826957,2.429014661
1061531790,42431089,6.587678937
42457788,247223720,19.64231163
42910092,42885762,4.049284254
42860164,42860161,1.105753004
42860170,42860167,3.157504475
1112485531,103886478,4.723415133
42763131,42719445,4.267740286
1061531790,42428709,2.017744822
1061531731,42431067,6.585224949
1061531815,42428737,2.062899514
42810972,42810967,8.656134969
42908517,42932492,2.393479928
1061531807,42428711,2.190130401
42810477,42826048,2.761569931
2054405674,2054405601,31.95731084
598227919,42502712,3.860685072
1061531790,42428701,2.049450268
103874255,103869921,2.591203546
2025209406,2025209370,2.992815137
2054405684,2054405674,2.046881391
1061531768,42428689,2.026438251
1061531645,42421775,2.086167221
42424395,587988392,2.926900784
1061531695,42428065,2.089951419
42466514,42475959,7.386860941
1061531730,42428725,2.04707236
276299309,276299310,2.035157249
1061531731,42428701,2.046407568
1061531645,42431024,5.402811861
1061531730,42428720,2.035489645
1061531731,42428689,2.066300179
42464848,1258875489,3.191076451
