begin_node_id,end_node_id,Length
42519812,248607283,97.372
42766934,42765242,43.256
42421783,42454313,79.237
42867023,42807554,89.827
2028361256,2028328023,63.938
42422592,42428072,87.776
42486083,465132522,46.17
370880758,42421946,72.789
42422086,42443116,85.877
42766931,42762533,100.266
42427991,1733612459,70.466
42421960,42445569,137.683
593921859,42455761,54.218
42421974,42443305,81.129
42815805,42817412,159.617
42767053,42755256,128.265
42815834,42815829,79.503
42815829,42815824,79.301
103886354,440243635,849.787
42815824,42815820,79.569
42815820,42815816,79.501
42815816,42815813,79.5
42815813,42815810,79.637
42815810,42815807,49.313
42815807,42815805,80.034
42422592,42422399,362.223
42422585,42422592,65.802
42422592,42422366,86.462
42422592,42421778,87.758
42815770,42815764,76.059
103879237,103869667,76.684
42815764,42815755,76.182
42471183,42487567,111.75
42422038,42438155,84.292
42815755,42815750,76.23
42815750,42815748,80.074
1533280148,2779131562,53.342
42421865,42443165,246.567
42429705,1544809885,88.781
42520827,42520825,79.441
42422018,42438052,84.189
42864880,42864879,225.352
42422026,42437401,166.368
42421852,42442584,96.976
42421996,42438043,79.769
42520579,42527647,189.196
541999391,42481645,76.075
42422018,42437058,94.109
246894565,42429570,95.337
42422000,42437052,79.952
42469478,42537973,48.825
42520409,42531870,142.297
42422366,42425188,44.695
42421806,42442475,80.549
42421769,42443347,86.235
42471048,42488527,79.294
42866526,42811451,67.282
42421820,42441569,85.097
42471615,42470439,57.822
541999541,42474811,235.68
42471722,42467023,86.91
42469879,42524122,80.119
42422035,42434413,49.979
42469876,42524119,79.173
42421772,42442469,80.419
42421993,42435312,79.518
42421778,42441587,81.113
42421852,42438928,171.122
42436567,592484776,105.987
42421969,42435250,80.44
483605937,2408421325,69.299
42421877,42437949,75.426
42436793,1692433932,166.477
593216034,371034141,340.941
42421882,42436856,61.533
42766989,42748414,201.287
593921869,42443563,51.759
42421820,42437312,88.267
42422016,42431044,81.578
42421993,42431447,81.613
42421803,42437300,80.318
42471046,42483561,79.294
42422053,42429362,51.204
371230604,589928187,129.469
42471092,42481652,99.433
42469633,42526329,252.563
42421737,42437917,85.233
42453604,1775270664,83.189
593300772,42820840,205.629
42422042,42428374,47.248
42767057,42742681,394.148
42471265,42474786,113.088
42421800,42435308,80.05
42422056,42427249,79.345
42421882,42432194,73.947
42442559,1061531815,129.415
593301234,42804992,102.764
42470376,42501208,81.864
42442549,1061531730,129.425
42421972,42428570,94.214
276069438,42920892,80.413
42442534,1061531807,127.301
42442542,1061531504,130.336
1934650109,1044184577,279.534
277385120,277385119,40.488
42421728,42435337,85.558
42442514,1061531790,131
42521405,42490932,84.072
42421960,42427953,66.542
42421882,42430241,82.577
42442492,1061531731,130.195
482661024,276065908,251.982
42442475,1061531839,143.492
42442480,1061531603,137.357
42421828,42430938,130.058
42442469,1061531645,151.65
42421810,42431034,79.985
42421810,42431030,81.386
42442463,1061531454,151.863
42422086,42422168,70.443
42442451,1061531634,97.312
42421741,42432756,85.896
42421857,42428863,243.628
42421731,42432737,86.442
42421728,42432736,85.977
42421776,42431024,79.967
42421776,42431019,86.048
42433881,595703383,55.992
42442422,1061531608,89.325
42422056,42422053,97.556
42422053,42422056,88.26
42470437,42494930,217.249
42422050,42422053,135.89
593215564,371038821,115.785
42470434,42494845,113.2
42422042,42422050,115.548
42421749,42431118,87.193
42422038,42422042,112.323
42422035,42422038,95.884
293348991,301546019,191.436
276209383,2433000860,494.291
42422016,42422018,215.978
42421783,42429174,117.639
42520607,42511011,78.847
42421996,42422000,273.181
42421993,42421996,271.954
42421982,42421978,77.589
42421978,42421982,77.589
42453080,595105496,128.133
42421974,42421972,154.498
42421972,42421969,92.817
42421946,42421960,59.062
42815107,42816214,119.187
42433743,595703242,58.35
2689614147,2089937977,105.284
42814259,42842371,75.878
42520740,42504256,137.173
593921875,42430677,197.024
42453011,595105531,40.694
593921860,42430691,194.65
593921856,42430685,195.729
42449833,596776497,86.64
42421800,42424851,80.626
42521121,42491616,190.348
42449833,596776442,79.894
42767011,42733194,59.441
42421877,42421882,299.009
42866064,42807752,84.743
42421865,42421857,83.182
42421857,42421865,83.182
277032734,42932829,72.043
42421852,42421857,269.039
1946814074,248709626,104.611
42421820,42421810,216.042
42421810,42421809,109.527
42421809,42421806,148.644
42435705,1815133244,273.847
42421806,42421803,273.347
42421778,42422592,87.758
42421778,42421776,128.516
42521808,42466517,178.217
42421775,42421772,152.262
42471130,42464570,70.468
42421772,42421769,273.47
42471136,42463651,79.324
42421741,42421737,272.632
42421737,42421741,272.632
42421737,42421731,135.104
103878596,103863438,80.936
42421731,42421737,135.104
42421731,42421728,137.823
42421728,42421731,137.823
42519812,42525712,135.879
103878359,103869196,75.991
276299310,2089938015,71.539
370888100,370888101,151.501
593920893,427804029,81.57
42520393,42506177,79.206
1775176474,42424098,85.173
2481865390,42440804,67.477
1834852948,248709733,238.553
103881940,1112485522,80.396
358448394,42435635,275.573
60007353,295228005,43.788
2481865390,42437580,77.325
42469437,42508211,97.213
42519809,42519202,42.5
103877791,103879821,85.213
1775270664,1919595924,71.188
42520825,42486597,79.239
42470387,42477228,272.696
276299050,2089938080,120.165
42520740,42488330,138.414
42469614,42500046,86.261
42469606,42500041,88.87
42428212,449581627,87.569
42470396,42474962,94.962
42520698,42488270,85.121
42433173,595703198,66.886
42519640,42520559,68.521
588593611,246909454,85.181
358448394,42427817,79.904
42470439,42470437,233.988
42434951,561042193,77.526
589100267,42458017,97.034
42912774,42912776,83.433
42520764,42481968,87.006
42470385,42470382,88.531
42909195,2402842572,220.143
588718770,486819535,148.904
42470382,42469633,277.672
42911782,42941870,285.492
589100164,42458034,234.46
589100164,42458017,50.001
103238622,103237100,80.625
42469118,42506366,137.048
103877797,103868764,41.107
593915303,247081122,214.383
589100711,42439191,153.366
100662030,277481765,310.148
42520607,42482473,99.936
100662028,277481542,570.496
60925728,595473421,225.614
42521125,42466266,221.149
42436060,1104165608,133.488
486869939,486868138,75.302
42449005,596776260,84.797
277482363,277482105,127.26
589100711,42437826,44.202
277482339,277482363,72.229
42444960,1533280148,120.756
42862706,42885428,41.032
42520729,42476485,114.841
589100232,42451018,79.259
358447541,42444933,92.539
279603573,276209340,52.734
42833276,597443929,146.512
42469898,42477282,79.295
106089178,106089864,84.851
276298577,2089938041,110.266
380059967,42497720,80.65
588175753,42796436,42.218
103877626,103868269,75.408
277482205,277482097,81.708
42519230,42519232,62.199
42519223,42519230,52.763
42519202,42519809,42.5
42912776,42900647,84.332
2387504625,1696727885,92.827
42519232,42517465,204.92
42519207,42517910,76.746
42449597,2821304136,160.656
42520559,42475325,110.211
277482107,277482066,53.155
277482105,277482107,75.992
277482097,277482339,356.021
561042194,42449683,80.977
61271527,1825732607,347.347
561042193,42449683,77.134
42519250,42514188,78.107
42469214,42492412,79.104
42520686,42469492,53.179
205026279,278609760,79.565
