begin_node_id,end_node_id,lanes
42519812,248607283,2
42766934,42765242,1
42421783,42454313,2
42867023,42807554,1
2028361256,2028328023,2
42422592,42428072,1
42486083,465132522,4
370880758,42421946,1
42422086,42443116,2
42766931,42762533,1
42427991,1733612459,2
42421960,42445569,1
593921859,42455761,1
42421974,42443305,2
42815805,42817412,1
42767053,42755256,2
42815834,42815829,1
42815829,42815824,1
103886354,440243635,3
42815824,42815820,1
42815820,42815816,1
42815816,42815813,1
42815813,42815810,1
42815810,42815807,1
42815807,42815805,1
42422592,42422399,6
42422585,42422592,6
42422592,42422366,1
42422592,42421778,1
42815770,42815764,1
103879237,103869667,3
42815764,42815755,1
42471183,42487567,1
42422038,42438155,1
42815755,42815750,1
42815750,42815748,1
1533280148,2779131562,1
42421865,42443165,1
42429705,1544809885,2
42520827,42520825,1
42422018,42438052,1
42864880,42864879,1
42422026,42437401,2
42421852,42442584,1
42421996,42438043,2
42520579,42527647,1
541999391,42481645,1
42422018,42437058,1
246894565,42429570,3
42422000,42437052,1
42469478,42537973,1
42520409,42531870,1
42422366,42425188,3
42421806,42442475,1
42421769,42443347,2
42471048,42488527,1
42866526,42811451,1
42421820,42441569,1
42471615,42470439,1
541999541,42474811,2
42471722,42467023,3
42469879,42524122,1
42422035,42434413,1
42469876,42524119,1
42421772,42442469,1
42421993,42435312,1
42421778,42441587,1
42421852,42438928,1
42436567,592484776,2
42421969,42435250,1
483605937,2408421325,1
42421877,42437949,1
42436793,1692433932,1
593216034,371034141,2
42421882,42436856,2
42766989,42748414,1
593921869,42443563,1
42421820,42437312,1
42422016,42431044,1
42421993,42431447,1
42421803,42437300,2
42471046,42483561,1
42422053,42429362,1
371230604,589928187,5
42471092,42481652,1
42469633,42526329,1
42421737,42437917,1
42453604,1775270664,1
593300772,42820840,2
42422042,42428374,1
42767057,42742681,2
42471265,42474786,2
42421800,42435308,1
42422056,42427249,1
42421882,42432194,2
42442559,1061531815,1
593301234,42804992,1
42470376,42501208,1
42442549,1061531730,1
42421972,42428570,1
276069438,42920892,2
42442534,1061531807,1
42442542,1061531504,1
1934650109,1044184577,5
277385120,277385119,2
42421728,42435337,1
42442514,1061531790,1
42521405,42490932,1
42421960,42427953,1
42421882,42430241,1
42442492,1061531731,1
482661024,276065908,1
42442475,1061531839,1
42442480,1061531603,1
42421828,42430938,1
42442469,1061531645,1
42421810,42431034,1
42421810,42431030,1
42442463,1061531454,1
42422086,42422168,1
42442451,1061531634,1
42421741,42432756,1
42421857,42428863,1
42421731,42432737,1
42421728,42432736,1
42421776,42431024,1
42421776,42431019,1
42433881,595703383,1
42442422,1061531608,2
42422056,42422053,1
42422053,42422056,1
42470437,42494930,1
42422050,42422053,1
593215564,371038821,2
42470434,42494845,1
42422042,42422050,1
42421749,42431118,1
42422038,42422042,1
42422035,42422038,1
293348991,301546019,3
276209383,2433000860,6
42422016,42422018,1
42421783,42429174,2
42520607,42511011,1
42421996,42422000,1
42421993,42421996,2
42421982,42421978,1
42421978,42421982,1
42453080,595105496,2
42421974,42421972,2
42421972,42421969,2
42421946,42421960,1
42815107,42816214,1
42433743,595703242,1
2689614147,2089937977,2
42814259,42842371,1
42520740,42504256,3
593921875,42430677,2
42453011,595105531,2
593921860,42430691,1
593921856,42430685,1
42449833,596776497,1
42421800,42424851,1
42521121,42491616,2
42449833,596776442,1
42767011,42733194,1
42421877,42421882,1
42866064,42807752,1
42421865,42421857,1
42421857,42421865,1
277032734,42932829,1
42421852,42421857,1
1946814074,248709626,2
42421820,42421810,1
42421810,42421809,1
42421809,42421806,2
42435705,1815133244,2
42421806,42421803,1
42421778,42422592,1
42421778,42421776,1
42521808,42466517,1
42421775,42421772,2
42471130,42464570,2
42421772,42421769,1
42471136,42463651,3
42421741,42421737,1
42421737,42421741,1
42421737,42421731,2
103878596,103863438,3
42421731,42421737,2
42421731,42421728,1
42421728,42421731,1
42519812,42525712,2
103878359,103869196,2
276299310,2089938015,2
370888100,370888101,1
593920893,427804029,1
42520393,42506177,1
1775176474,42424098,2
2481865390,42440804,2
1834852948,248709733,2
103881940,1112485522,2
358448394,42435635,2
60007353,295228005,6
2481865390,42437580,2
42469437,42508211,1
42519809,42519202,1
103877791,103879821,3
1775270664,1919595924,2
42520825,42486597,1
42470387,42477228,1
276299050,2089938080,1
42520740,42488330,1
42469614,42500046,1
42469606,42500041,1
42428212,449581627,1
42470396,42474962,3
42520698,42488270,1
42433173,595703198,2
42519640,42520559,1
588593611,246909454,3
358448394,42427817,1
42470439,42470437,1
42434951,561042193,2
589100267,42458017,2
42912774,42912776,2
42520764,42481968,1
42470385,42470382,1
42909195,2402842572,1
588718770,486819535,1
42470382,42469633,1
42911782,42941870,1
589100164,42458034,2
589100164,42458017,2
103238622,103237100,1
42469118,42506366,1
103877797,103868764,3
593915303,247081122,4
589100711,42439191,1
100662030,277481765,4
42520607,42482473,1
100662028,277481542,4
60925728,595473421,2
42521125,42466266,1
42436060,1104165608,1
486869939,486868138,1
42449005,596776260,1
277482363,277482105,1
589100711,42437826,2
277482339,277482363,1
42444960,1533280148,1
42862706,42885428,1
42520729,42476485,1
589100232,42451018,2
358447541,42444933,1
279603573,276209340,1
42833276,597443929,1
42469898,42477282,1
106089178,106089864,6
276298577,2089938041,2
380059967,42497720,1
588175753,42796436,1
