begin_node_id,end_node_id,Other Volume
42519812,248607283,5426
42766934,42765242,1631
42421783,42454313,4630
42867023,42807554,2107
2028361256,2028328023,2959
42422592,42428072,2497
42486083,465132522,5756
370880758,42421946,529
42422086,42443116,2497
42766931,42762533,1631
42427991,1733612459,465
42421960,42445569,2854
593921859,42455761,961
42421974,42443305,2017
42815805,42817412,1432
42767053,42755256,5700
42815834,42815829,1608
42815829,42815824,1822
103886354,440243635,6945
42815824,42815820,1822
42815820,42815816,1941
42815816,42815813,1941
42815813,42815810,1582
42815810,42815807,1976
42815807,42815805,2137
42422592,42422399,11871
42422585,42422592,13574
42422592,42422366,1786
42422592,42421778,1828
42815770,42815764,1945
103879237,103869667,6945
42815764,42815755,1923
42471183,42487567,1348
42422038,42438155,808
42815755,42815750,1923
42815750,42815748,1923
1533280148,2779131562,884
42421865,42443165,1599
42429705,1544809885,1608
42520827,42520825,1478
42422018,42438052,1532
42864880,42864879,1437
42422026,42437401,4617
42421852,42442584,1681
42421996,42438043,2111
42520579,42527647,1978
541999391,42481645,1978
42422018,42437058,1517
246894565,42429570,4660
42422000,42437052,1817
42469478,42537973,1572
42520409,42531870,1572
42422366,42425188,5552
42421806,42442475,1817
42421769,42443347,2094
42471048,42488527,803
42866526,42811451,1386
42421820,42441569,1506
42471615,42470439,972
541999541,42474811,3434
42471722,42467023,3697
42469879,42524122,749
42422035,42434413,494
42469876,42524119,728
42421772,42442469,1810
42421993,42435312,736
42421778,42441587,2658
42421852,42438928,884
42436567,592484776,1546
42421969,42435250,1381
483605937,2408421325,2473
42421877,42437949,1908
42436793,1692433932,1684
593216034,371034141,5471
42421882,42436856,497
42766989,42748414,2850
593921869,42443563,976
42421820,42437312,1527
42422016,42431044,2208
42421993,42431447,1270
42421803,42437300,1848
42471046,42483561,441
42422053,42429362,524
371230604,589928187,8075
42471092,42481652,1978
42469633,42526329,1351
42421737,42437917,2434
42453604,1775270664,843
593300772,42820840,2302
42422042,42428374,548
42767057,42742681,5700
42471265,42474786,2458
42421800,42435308,1908
42422056,42427249,585
42421882,42432194,720
42442559,1061531815,2876
593301234,42804992,2246
42470376,42501208,1342
42442549,1061531730,2073
42421972,42428570,756
276069438,42920892,2094
42442534,1061531807,975
42442542,1061531504,1097
1934650109,1044184577,15429
277385120,277385119,5545
42421728,42435337,1911
42442514,1061531790,545
42521405,42490932,1145
42421960,42427953,282
42421882,42430241,1582
42442492,1061531731,644
482661024,276065908,380
42442475,1061531839,1583
42442480,1061531603,1757
42421828,42430938,1347
42442469,1061531645,645
42421810,42431034,1720
42421810,42431030,572
42442463,1061531454,695
42422086,42422168,2406
42442451,1061531634,247
42421741,42432756,1822
42421857,42428863,1350
42421731,42432737,829
42421728,42432736,1248
42421776,42431024,1179
42421776,42431019,1004
42433881,595703383,2814
42442422,1061531608,1973
42422056,42422053,453
42422053,42422056,1435
42470437,42494930,1342
42422050,42422053,1052
593215564,371038821,4475
42470434,42494845,1347
42422042,42422050,1052
42421749,42431118,2807
42422038,42422042,1116
42422035,42422038,790
293348991,301546019,3757
276209383,2433000860,15203
42422016,42422018,1289
42421783,42429174,5242
42520607,42511011,2315
42421996,42422000,649
42421993,42421996,1792
42421982,42421978,2750
42421978,42421982,2313
42453080,595105496,3246
42421974,42421972,3184
42421972,42421969,1821
42421946,42421960,1746
42815107,42816214,1194
42433743,595703242,1959
2689614147,2089937977,5071
42814259,42842371,1437
42520740,42504256,6911
593921875,42430677,4277
42453011,595105531,2712
593921860,42430691,1777
593921856,42430685,1622
42449833,596776497,1208
42421800,42424851,632
42521121,42491616,3436
42449833,596776442,2993
42767011,42733194,2850
42421877,42421882,1387
42866064,42807752,2712
42421865,42421857,1346
42421857,42421865,1996
277032734,42932829,372
42421852,42421857,2954
1946814074,248709626,2815
42421820,42421810,900
42421810,42421809,1102
42421809,42421806,1845
42435705,1815133244,4974
42421806,42421803,733
42421778,42422592,1714
42421778,42421776,848
42521808,42466517,1608
42421775,42421772,751
42471130,42464570,1774
42421772,42421769,1447
42471136,42463651,8662
42421741,42421737,853
42421737,42421741,1087
42421737,42421731,2089
103878596,103863438,6946
42421731,42421737,2129
42421731,42421728,2186
42421728,42421731,1650
42519812,42525712,3923
103878359,103869196,3958
276299310,2089938015,5071
370888100,370888101,2663
593920893,427804029,1683
42520393,42506177,1930
1775176474,42424098,375
2481865390,42440804,1824
1834852948,248709733,2798
103881940,1112485522,3145
358448394,42435635,1868
60007353,295228005,13889
2481865390,42437580,1500
42469437,42508211,862
42519809,42519202,1979
103877791,103879821,4644
1775270664,1919595924,1732
42520825,42486597,1478
42470387,42477228,1570
276299050,2089938080,1713
42520740,42488330,1265
42469614,42500046,2798
42469606,42500041,1229
42428212,449581627,980
42470396,42474962,2819
42520698,42488270,1044
42433173,595703198,3164
42519640,42520559,803
588593611,246909454,5062
358448394,42427817,1374
42470439,42470437,972
42434951,561042193,763
589100267,42458017,798
42912774,42912776,4820
42520764,42481968,1224
42470385,42470382,1153
42909195,2402842572,1087
588718770,486819535,1213
42470382,42469633,1351
42911782,42941870,1440
589100164,42458034,5299
589100164,42458017,1126
103238622,103237100,1979
42469118,42506366,1230
103877797,103868764,6946
593915303,247081122,3891
589100711,42439191,524
100662030,277481765,9054
42520607,42482473,2977
100662028,277481542,8890
60925728,595473421,2449
42521125,42466266,1677
42436060,1104165608,221
486869939,486868138,912
42449005,596776260,1241
277482363,277482105,1847
589100711,42437826,3607
277482339,277482363,3084
42444960,1533280148,803
42862706,42885428,1387
42520729,42476485,2712
