location_node,destination_node,Count
42421728,42442578,1
42421728,42443366,1
42421731,42428782,1
42421731,42430352,1
42421731,42445924,1
42421731,627905367,1
42421741,42421741,3
42421741,42428003,1
42421741,42446169,1
42421741,595464704,1
42421749,42428493,1
42421749,42431024,1
42421749,42431868,1
42421749,42445001,1
42421749,42449961,1
42421769,42436700,1
42421769,42442534,1
42421769,42443326,1
42421769,42446991,1
42421769,42447020,1
42421769,1061531527,1
42421772,42421803,1
42421772,42437142,1
42421772,42443326,1
42421772,42443950,1
42421772,42445936,1
42421772,42453674,1
42421775,42428570,1
42421775,42430600,1
42421775,42437425,1
42421775,42438859,1
42421775,42442578,1
42421775,42446466,1
42421775,1061531509,1
42421776,42441254,1
42421776,42445256,1
42421778,42437005,1
42421778,42437050,1
42421800,42428799,1
42421800,42430352,1
42421800,42431902,1
42421800,42435257,1
42421800,42435497,1
42421800,42441263,1
42421800,42442571,1
42421800,596776017,1
42421803,42427206,1
42421803,42430358,1
42421803,42439272,1
42421803,596775963,1
42421806,42442514,1
42421806,1061531634,1
42421809,42446986,1
42421810,42428645,1
42421810,42436060,1
42421810,42436064,1
42421810,42440456,1
42421810,42446021,1
42421810,42454428,1
42421810,62915531,1
42421810,596775914,1
42421857,42431187,1
42421857,42435272,1
42421857,42435354,1
42421857,42436796,1
42421857,2141026544,1
42421865,42441587,1
42421877,42428220,1
42421877,42429375,1
42421877,42430320,1
42421877,42430356,1
42421877,42436055,1
42421877,42439443,1
42421877,42440313,1
42421877,42442415,1
42421877,42445950,1
42421877,42446293,1
42421877,42446849,1
42421877,42453607,1
42421877,42455934,1
42421877,42456492,1
42421877,42533974,1
42421877,387184869,1
42421877,2821304146,1
42421882,42434085,1
42421882,42434196,1
42421882,42434354,1
42421882,42436968,1
42421882,42438785,1
42421882,42440004,1
42421882,42440545,1
42421882,42445534,1
42421882,42445928,1
42421882,42446266,1
42421882,42446935,1
42421882,42448549,1
42421882,42449945,1
42421882,42450434,1
42421882,42456206,1
42421882,276062182,1
42421882,2569923492,1
42421946,42428313,1
42421960,42443811,1
42421960,42443975,1
42421960,42500050,1
42421960,42849630,1
42421960,2569923500,1
42421969,42424218,1
42421969,42430350,1
42421969,42436541,1
42421969,42438791,1
42421969,42440001,1
42421969,42445466,1
42421969,42452353,1
42421969,593915305,1
42421969,596776120,1
42421972,42421769,1
42421972,42427254,1
42421972,42428441,1
42421972,42430691,1
42421972,42437142,1
42421972,42440012,1
42421972,595245918,1
42421972,1733612459,1
42421974,42446016,1
42421974,593915255,1
42421974,1061531645,1
42421978,42428012,1
42421978,42443336,1
42421978,596775985,1
42421982,42421803,1
42421982,42428711,1
42421982,42432900,1
42421982,42434871,1
42421982,42445961,1
42421982,261394692,1
42421985,42430651,1
42421985,42433611,1
42421985,42437363,1
42421985,42448996,1
42421993,42429716,1
42421993,42436700,1
42421993,42453258,1
42421993,596775941,1
42421996,42421996,1
42421996,42438509,1
42421996,42438859,1
42421996,42443341,1
42421996,42446977,1
42421996,42446986,1
42421996,42454428,1
42421996,42455643,1
42421996,42455694,1
42421996,370880758,1
42422000,42427991,1
42422000,42442574,1
42422016,42428003,1
42422016,42431019,1
42422016,42433567,1
42422016,42435257,1
42422016,42436516,1
42422016,42440453,1
42422016,42449985,1
42422016,2831728347,1
42422026,42423674,1
42422026,42426747,2
42422026,42429657,1
42422026,42429842,1
42422026,42430167,1
42422026,42430277,1
42422026,42431877,1
42422026,42434268,1
42422026,42434827,1
42422026,42435680,1
42422026,42435702,1
42422026,42436192,1
42422026,42436374,1
42422026,42436705,1
42422026,42436746,1
42422026,42436779,1
42422026,42437670,1
42422026,42438784,1
42422026,42439443,1
42422026,42440459,1
42422026,42444223,2
42422026,42445479,1
42422026,42445661,1
42422026,42449341,1
42422026,42449956,1
42422026,42458267,1
42422026,42475949,1
42422026,246648219,1
42422026,248707601,1
42422026,370894979,1
42422026,2531682690,1
42422035,42448813,1
42422038,42422026,1
42422038,42430320,1
42422038,1773082410,1
42422053,42438891,1
42422053,42445417,1
42422056,42428529,1
42422056,42429570,1
42422056,42429577,1
42422056,42436701,1
42422056,42436746,1
42422258,561042194,1
42422509,42424098,1
42422509,42445474,1
42422682,42444457,1
42422899,42428012,1
42422899,42430314,1
42422899,42437451,1
42422899,42437589,1
42422899,42440025,1
42422899,42445653,1
42422899,42446488,1
42422899,42446959,1
42422899,42458017,1
42423564,42456060,1
42423564,100522731,1
42423565,42431680,1
42423565,42448338,1
42423579,42435707,1
42423579,42446622,1
42423579,596775919,1
42423579,1733612459,1
42423674,42424218,1
42423674,42430304,1
42423674,42430643,1
42423674,42430651,1
42423674,42439078,1
42423674,42442451,1
42423674,42445025,1
42423674,42454428,1
42423674,42454433,1
42423674,593839894,1
42423674,596775919,1
42423674,596775951,1
42423674,1782672705,1
42423677,42431563,1
42423677,42439994,1
42423677,42442983,1
42423677,42446099,1
42423885,42446959,1
42424098,42427764,1
42424098,42433834,1
42424098,42440012,1
42424098,42440737,1
42424098,42442947,1
42424098,1825841754,1
42424142,42446466,1
42424218,42430643,1
42424218,42434072,1
42424225,42428313,1
42424225,42431037,1
42424225,42435317,1
42424225,42440009,1
42424225,42443165,1
42424229,42421769,1
42424408,42430187,2
42424408,42430597,1
42424408,42436575,1
42424408,42440001,1
42424408,42440553,1
42424408,42443280,1
42424408,42445916,1
42424408,42449589,1
42424408,42502648,1
42424408,593915255,1
42424427,42430378,1
42424427,42431549,1
42424427,42435636,1
42424427,42438862,1
42424427,42438881,1
42424427,42443680,1
42424427,42444810,1
42424427,596776103,2
42424427,1919595921,1
42424439,42428007,1
42424439,42429324,1
42424439,42437050,1
42424439,42437223,1
42424439,42439485,1
42424439,42439996,1
42424439,42443341,1
42424439,42444809,1
42424456,42424456,2
42424456,42440253,1
42424610,42434354,1
42424610,42436129,1
42424610,42436390,1
42424610,42445466,1
42424610,42445947,1
42424610,42446293,1
42424610,595407648,1
42424610,2821304138,1
42424630,42430557,1
42424672,42497580,1
42424767,42435264,1
42424805,42446021,1
42424851,42435499,1
42424851,42439464,1
42424851,42446849,1
42424903,42828372,1
42425127,42439984,1
42425127,42449971,1
42425232,42440710,1
42425232,42446138,1
42425232,596775840,1
42425570,42422000,1
42425570,42431678,1
